"S.NO","Name","Nationality","Current Rank","Previous Year Rank","Sport","Year","earnings ($ million)","new_Sport"
1,"Mike Tyson","USA",1,NA,"boxing",1990,28.6,"Boxing"
11,"Evander Holyfield","USA",1,"8","boxing",1991,60.5,"Boxing"
21,"Michael Jordan","USA",1,"3","Basketball",1992,35.9,"Basketball"
31,"Michael Jordan","USA",1,"1","Basketball",1993,36,"Basketball"
41,"Michael Jordan","USA",1,"1","Basketball",1994,30,"Basketball"
51,"Michael Jordan","USA",1,"1","basketball",1995,43.9,"Basketball"
61,"Mike Tyson","USA",1,"2","Boxing",1996,75,"Boxing"
71,"Michael Jordan","USA",1,"2","Basketball",1997,78.3,"Basketball"
81,"Michael Jordan","USA",1,NA,"Basketball",1998,69,"Basketball"
91,"Michael Schumacher","Germany",1,"2","Auto Racing",1999,49,"Auto Racing"
101,"Michael Schumacher","Germany",1,"1","Auto Racing",2000,59,"Auto Racing"
111,"Tiger Woods","USA",1,"2","Golf",2002,69,"Golf"
122,"Tiger Woods","USA",1,"1","Golf",2003,78,"Golf"
132,"Tiger Woods","USA",1,"1","golf",2004,80.3,"Golf"
142,"Tiger Woods","USA",1,"1","golf",2005,87,"Golf"
152,"Tiger Woods","USA",1,"1","golf",2006,90,"Golf"
162,"Tiger Woods","USA",1,"1","golf",2007,100,"Golf"
172,"Tiger Woods","USA",1,"1","golf",2008,115,"Golf"
182,"Tiger Woods","USA",1,"1","golf",2009,110,"Golf"
192,"Tiger Woods","USA",1,"1","golf",2010,105,"Golf"
202,"Tiger Woods","USA",1,"1","golf",2011,75,"Golf"
212,"Floyd Mayweather","USA",1,"?","Boxing",2012,85,"Boxing"
222,"Tiger Woods","USA",1,"3","Golf",2013,78.1,"Golf"
232,"Floyd Mayweather","USA",1,"14","Boxing",2014,105,"Boxing"
242,"Floyd Mayweather","USA",1,"1","Boxing",2015,300,"Boxing"
252,"Cristiano Ronaldo","Portugal",1,"3","Soccer",2016,88,"Soccer"
262,"Cristiano Ronaldo","Portugal",1,"1","Soccer",2017,93,"Soccer"
272,"Floyd Mayweather","USA",1,">100","Boxing",2018,285,"Boxing"
282,"Lionel Messi","Argentina",1,"2","Soccer",2019,127,"Soccer"
292,"Roger Federer","Switzerland",1,"5","Tennis",2020,106.3,"Tennis"
