"S.NO","Name","Nationality","Current Rank","Previous Year Rank","Sport","Year","earnings ($ million)","new_Sport"
1,"Mike Tyson","USA",1,NA,"boxing",1990,28.6,"Boxing"
2,"Buster Douglas","USA",2,NA,"boxing",1990,26,"Boxing"
3,"Sugar Ray Leonard","USA",3,NA,"boxing",1990,13,"Boxing"
4,"Ayrton Senna","Brazil",4,NA,"auto racing",1990,10,"Auto Racing"
5,"Alain Prost","France",5,NA,"auto racing",1990,9,"Auto Racing"
6,"Jack Nicklaus","USA",6,NA,"golf",1990,8.6,"Golf"
7,"Greg Norman","Australia",7,NA,"golf",1990,8.5,"Golf"
8,"Michael Jordan","USA",8,NA,"basketball",1990,8.1,"Basketball"
9,"Arnold Palmer","USA",8,NA,"golf",1990,8.1,"Golf"
10,"Evander Holyfield","USA",8,NA,"boxing",1990,8.1,"Boxing"
11,"Evander Holyfield","USA",1,"8","boxing",1991,60.5,"Boxing"
12,"Mike Tyson","USA",2,"1","boxing",1991,31.5,"Boxing"
13,"Michael Jordan","USA",3,"8","basketball",1991,16,"Basketball"
14,"George Foreman","USA",4,">30","boxing",1991,14.5,"Boxing"
15,"Ayrton Senna","Brazil",5,"4","auto racing",1991,13,"Auto Racing"
16,"Alain Prost","France",6,"5","auto racing",1991,11,"Auto Racing"
17,"Donovan ""Razor"" Ruddock","Canada",7,">30","boxing",1991,10.2,"Boxing"
18,"Arnold Palmer","USA",8,"8","golf",1991,9.3,"Golf"
19,"Nigel Mansell","UK",9,"12","auto racing",1991,9,"Auto Racing"
20,"Sugar Ray Leonard","USA",10,"6","golf",1991,8.5,"Golf"
21,"Michael Jordan","USA",1,"3","Basketball",1992,35.9,"Basketball"
22,"Evander Holyfield","USA",2,"1","Boxing",1992,28,"Boxing"
23,"Ayrton Senna","Brazil",3,"5","Auto Racing",1992,22,"Auto Racing"
24,"Nigel Mansell","UK",4,"9","Auto Racing",1992,14.5,"Auto Racing"
25,"Arnold Palmer","USA",5,"8","Golf",1992,11.1,"Golf"
26,"Andre Agassi","USA",6,"17","Tennis",1992,11,"Tennis"
27,"Joe Montana","USA",7,"13","NFL",1992,9.5,"American Football"
28,"Sugar Ray Leonard","USA",8,"10","Golf",1992,9.2,"Golf"
29,"Jim Courier","USA",9,">40","Tennis",1992,9,"Tennis"
30,"Monica Seles","USA",10,"12","Tennis",1992,8.5,"Tennis"
31,"Michael Jordan","USA",1,"1","Basketball",1993,36,"Basketball"
32,"Riddick Bowe","USA",2,">40","Boxing",1993,25,"Boxing"
33,"Ayrton Senna","Brazil",3,"3","Auto racing",1993,18.5,"Auto Racing"
34,"Alain Prost","France",4,">40","Auto Racing",1993,16,"Auto Racing"
35,"George Foreman","USA",5,"19","Boxing",1993,15.8,"Boxing"
36,"Shaquille O'Neal","USA",6,">40","NBA",1993,15.2,"Basketball"
37,"Lennox Lewis","USA",7,">40","Boxing",1993,15,"Boxing"
38,"Cecil Fielder","USA",8,"40","Baseball",1993,12.7,"Baseball"
